rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
550,REAL,Real Matters Inc.,428.65M,5.74,-0.52%,258.54M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,REAL.TO,Real Estate,Real Estate Services,Real Matters Inc.,EQUITY,success
551,CSW.A,Corby Spirit and Wine Limited,418.74M,14.8,0.20%,262.33M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CSW-A.TO,Consumer Defensive,Beverages - Wineries & Distilleries,Corby Spirit and Wine Limited,EQUITY,success
552,CSW.B,Corby Spirit and Wine Limited,418.74M,14.18,0.07%,262.33M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CSW-B.TO,Consumer Defensive,Beverages - Wineries & Distilleries,Corby Spirit and Wine Limited,EQUITY,success
553,EDT,Spectral Medical Inc.,416.65M,1.4,-1.41%,2.44M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,EDT.TO,Healthcare,Diagnostics & Research,Spectral Medical Inc.,EQUITY,success
554,LCFS,Tidewater Renewables Ltd.,416.13M,10.55,-7.54%,248.00M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,LCFS.TO,Basic Materials,Specialty Chemicals,Tidewater Renewables Ltd.,EQUITY,success
555,VGZ,Vista Gold Corp.,414.11M,2.88,0.70%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,VGZ.TO,Basic Materials,Gold,Vista Gold Corp.,EQUITY,success
556,PRV.UN,Pro Real Estate Investment Trust,411.86M,6.54,0.93%,104.10M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PRV-UN.TO,Real Estate,REIT - Industrial,Pro Real Estate Investment Trust,EQUITY,success
557,GBT,BMTC Group Inc.,409.08M,12.99,1.09%,627.11M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GBT.TO,Consumer Cyclical,Specialty Retail,BMTC Group Inc.,EQUITY,success
558,JOY,Journey Energy Inc.,402.86M,6.49,8.63%,171.65M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,JOY.TO,Energy,Oil & Gas E&P,Journey Energy Inc.,EQUITY,success
559,TBL,Taiga Building Products Ltd.,400.47M,3.74,0.81%,1.63B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TBL.TO,Industrials,Industrial Distribution,Taiga Building Products Ltd.,EQUITY,success
